Age,Salary,City,Education,Years_of_Experience,Department
34.96714153011233,43643.604769659454,Chittagong,Masters,6,Marketing
28.617356988288154,43198.78837424219,Dhaka,Diploma,11,Marketing
36.47688538100692,23065.352410549775,Sylhet,Diploma,14,Sales
45.23029856408026,45048.64712447844,Chittagong,Masters,18,HR
27.65846625276664,60992.43622732618,Dhaka,Bachelors,5,Engineering
27.658630430508193,30886.518213848074,Sylhet,PhD,7,Engineering
45.79212815507391,65727.23976575889,Rajshahi,Diploma,5,HR
37.67434729152909,57316.62231626507,Chittagong,PhD,2,Sales
25.305256140650478,38986.50017043443,Rajshahi,Diploma,4,HR
35.42560043585965,47877.05543993229,Khulna,Masters,8,Engineering
25.365823071875376,73974.8271146155,Sylhet,Diploma,15,HR
25.34270246429743,61003.217202587985,,Masters,15,HR
32.41962271566034,50131.75482347222,Chittagong,PhD,8,Sales
10.86719755342202,46434.75024558524,Sylhet,Bachelors,17,Marketing
12.750821674869673,51149.13605677489,Khulna,Masters,12,Engineering
24.377124707590273,42323.54663086545,Sylhet,PhD,10,Engineering
19.87168879665576,18428.75741421478,Dhaka,PhD,9,HR
33.142473325952736,80632.66865802096,Rajshahi,Diploma,9,Engineering
20.91975924478789,52329.874987991025,Khulna,Masters,5,Engineering
15.876962986647085,55972.208976838054,Khulna,PhD,15,Marketing
44.65648768921554,49131.38375184637,Rajshahi,Bachelors,11,Engineering
27.742236995134643,38973.24798913118,Rajshahi,Diploma,3,Engineering
30.67528204687924,47211.13278576844,Khulna,Diploma,4,Sales
15.752518137865433,26009.078567085333,Rajshahi,PhD,1,Sales
24.556172754748175,84156.29747079956,Chittagong,Masters,18,Sales
31.10922589709866,31482.32002366406,Rajshahi,Diploma,0,Sales
18.490064225776973,34520.505742292306,Dhaka,Masters,3,Sales
33.75698018345672,43396.111934204,Dhaka,PhD,11,Marketing
23.99361310081195,69321.13587278567,Chittagong,PhD,1,Engineering
27.083062502067232,50217.63498893981,Rajshahi,Masters,11,HR
23.98293387770603,31457.963059543064,Dhaka,Bachelors,15,Marketing
48.522781845089376,68815.0754113601,Sylhet,Diploma,1,HR
29.865027752620662,60965.00940178222,Rajshahi,PhD,16,Sales
19.422890710440996,58076.52435824679,Chittagong,Bachelors,1,Engineering
38.225449121031886,60736.01361756261,Rajshahi,Bachelors,3,Sales
